Siglas	Votos	Diputados	Candidatura
censo	153080	4	
participacion	126968		
abstencion	26112		
nulos	2756		
blancos	245		
UCD	38338	2	UNION DE CENTRO DEMOCRATICO
PSOE	34244	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	3906	0	PARTIDO COMUNISTA DE ESPAÑA
AP	7927	0	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	1677	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
PNV	21708	1	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
FDI	791	0	FRENTE DEMOCRATICO DE IZQUIERDAS
ASDCI	3324	0	ALIANZA SOCIALISTA DEMOCRATICA
FJONSA	216	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
ESB	2756	0	PARTIDO SOCIALISTA VASCO
DCV	3439	0	DEMOCRACIA CRISTIANA VASCA
PPROV	180	0	PARTIDO PROVERISTA
INDEP	2622	0	INDEPENDIENTE
INDEP	2347	0	INDEPENDIENTE
INDEP	492	0	INDEPENDIENTE
