Siglas	Votos	Diputados	Candidatura
censo	437592	7	
participacion	335512		
abstencion	102080		
nulos	4220		
blancos	1157		
PSOE	93010	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	12042	0	PARTIDO COMUNISTA DE ESPAÑA
AP	27048	0	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	4841	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
PNV	102494	3	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
FDI	1059	0	FRENTE DEMOCRATICO DE IZQUIERDAS
AET	2476	0	AGRUPACION ELECTORAL DE TRABAJADORES
EE	31208	1	EUSKADIKO EZKERRA
FUT	3830	0	FRENTE UNIDAD DE LOS TRABAJADORES
ESB	18167	0	PARTIDO SOCIALISTA VASCO
DCV	16627	0	DEMOCRACIA CRISTIANA VASCA
DIV	15505	0	DEMOCRATAS INDEPENDIENTES VASCOS
MFA	10	0	MONTEJURRA-FEDERALISMO-AUTOGESTION
ANV	1818	0	ACCION NACIONALISTA VASCA
