Siglas	Votos	Diputados	Candidatura
censo	2744152	32	
participacion	2332660		
abstencion	411492		
nulos	23744		
blancos	6111		
UCD	737699	11	UNION DE CENTRO DEMOCRATICO
PSOE	731380	11	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	247038	4	PARTIDO COMUNISTA DE ESPAÑA
AP	242077	3	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	211440	3	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
FDC-EDC	34113	0	COALICION ELECT. EQUIPO DE LA DEMOCRACIA CRISTIANA
FDI	13328	0	FRENTE DEMOCRATICO DE IZQUIERDAS
ASDCI	28363	0	ALIANZA SOCIALISTA DEMOCRATICA
AET	16372	0	AGRUPACION ELECTORAL DE TRABAJADORES
RSE	4344	0	REFORMA SOCIAL ESPAÑOLA
FJONSA	7345	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
FUT	3264	0	FRENTE UNIDAD DE LOS TRABAJADORES
FJONS	13721	0	FALANGE ESPAÑOLA DE LAS JONS
CJA	2301	0	ASOCIACION CIRCULOS JOSE ANTONIO
CUP	5206	0	UNIDAD POPULAR
PIM	4814	0	PARTIDO INDEPENDIENTE DE MADRID
