Siglas	Votos	Diputados	Candidatura
censo	319222	5	
participacion	262522		
abstencion	56700		
nulos	4058		
blancos	598		
UCD	75036	3	UNION DE CENTRO DEMOCRATICO
PSOE	54720	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	6319	0	PARTIDO COMUNISTA DE ESPAÑA
PSP-US	6629	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
FDC-EDC	10450	0	COALICION ELECT. EQUIPO DE LA DEMOCRACIA CRISTIANA
FDI	6631	0	FRENTE DEMOCRATICO DE IZQUIERDAS
AET	13195	0	AGRUPACION ELECTORAL DE TRABAJADORES
FUT	1361	0	FRENTE UNIDAD DE LOS TRABAJADORES
UNAI	24489	0	UNION NAVARRA DE IZQUIERDA
AFN	21900	0	ALIANZA FORAL NAVARRA
UAN	18079	0	UNION AUTONOMISTA DE NAVARRA
FNI	10606	0	FRENTE NAVARRO INDEPENDIENTE
MFA	8451	0	MONTEJURRA-FEDERALISMO-AUTOGESTION
