Siglas	Votos	Diputados	Candidatura
censo	365063	6	
participacion	289260		
abstencion	75803		
nulos	5562		
blancos	857		
UCD	187254	5	UNION DE CENTRO DEMOCRATICO
PSOE	39616	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	7467	0	PARTIDO COMUNISTA DE ESPAÑA
AP	15944	0	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	7130	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
FDI	1476	0	FRENTE DEMOCRATICO DE IZQUIERDAS
RSE	1154	0	REFORMA SOCIAL ESPAÑOLA
FJONSA	817	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
PCU	17717	0	PUEBLO CANARIO UNIDO
PPCAN	1882	0	PARTIDO POPULAR CANARIO
PSCAN	2384	0	PARTIDO SOCIALISTA DE CANARIAS
