Siglas	Votos	Diputados	Candidatura
censo	327008	5	
participacion	263997		
abstencion	63011		
nulos	7591		
blancos	391		
UCD	102719	3	UNION DE CENTRO DEMOCRATICO
PSOE	67611	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	13971	0	PARTIDO COMUNISTA DE ESPAÑA
AP	36598	1	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	6923	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
FDC-EDC	5930	0	COALICION ELECT. EQUIPO DE LA DEMOCRACIA CRISTIANA
FDI	1633	0	FRENTE DEMOCRATICO DE IZQUIERDAS
AET	2551	0	AGRUPACION ELECTORAL DE TRABAJADORES
AN18	3582	0	ALIANZA NACIONAL 18 DE JULIO
FJONSA	1797	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
PSOE-H	8914	0	P. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)
PSDE	3786	0	PARTIDO SOCIALISTA DEMOCRATICO ESPAÑOL
