Siglas	Votos	Diputados	Candidatura
censo	1287981	15	
participacion	1091199		
abstencion	196782		
nulos	11168		
blancos	1870		
UCD	334705	5	UNION DE CENTRO DEMOCRATICO
PSOE	395211	7	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	106133	1	PARTIDO COMUNISTA DE ESPAÑA
AP	60410	1	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	58654	1	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
FDC-EDC	34788	0	COALICION ELECT. EQUIPO DE LA DEMOCRACIA CRISTIANA
FDI	6704	0	FRENTE DEMOCRATICO DE IZQUIERDAS
ASDCI	5434	0	ALIANZA SOCIALISTA DEMOCRATICA
AET	2995	0	AGRUPACION ELECTORAL DE TRABAJADORES
AN18	14275	0	ALIANZA NACIONAL 18 DE JULIO
RSE	3419	0	REFORMA SOCIAL ESPAÑOLA
FJONSA	2937	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
FUT	3551	0	FRENTE UNIDAD DE LOS TRABAJADORES
PSPV	27411	0	PARTIDO SOCIALISTA DEL PAIS VALENCIA
ANEPA-CP	12738	0	ASOC.NAL. PARA EL ESTUDIO DE PROBLEMAS ACTUALES
CJA	1871	0	ASOCIACION CIRCULOS JOSE ANTONIO
INDEP	2737	0	CANDIDATURA INDEPENDIENTE
FL	1843	0	FEDERACION LABORISTA
PRSV	2345	0	PARTIDO RADICAL SOCIALISTA DE VALENCIA
