Siglas	Votos	Diputados	Candidatura
censo	282075	5	
participacion	186498		
abstencion	95577		
nulos	2094		
blancos	332		
UCD	68756	3	UNION DE CENTRO DEMOCRATICO
PSOE	65302	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	12913	0	PARTIDO COMUNISTA DE ESPAÑA
CD	6080	0	COALICION DEMOCRATICA
UN	3010	0	PARTIDO UNION NACIONAL
PSA-PA	17720	0	PARTIDO ANDALUCISTA
PTE	1099	0	PARTIDO DEL TRABAJO DE ESPAÑA
PSOE-H	2009	0	PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)
ORT	4330	0	ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES
MC-OIC	505	0	MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA
PCARL	375	0	PARTIDO CARLISTA
OCEBR-UCE	393	0	ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA
PCT	539	0	PARTIDO COMUNISTA DE LOS TRABAJADORES
LCR	718	0	LIGA COMUNISTA REVOLUCIONARIA
FJONSA	314	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
ULE	9	0	UNION PARA LA LIBERTAD DE EXPRESION
