Siglas	Votos	Diputados	Candidatura
censo	168014	3	
participacion	119654		
abstencion	48360		
nulos	1872		
blancos	462		
UCD	56449	2	UNION DE CENTRO DEMOCRATICO
PSOE	40885	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	7724	0	PARTIDO COMUNISTA DE ESPAÑA
CD	5280	0	COALICION DEMOCRATICA
UN	900	0	PARTIDO UNION NACIONAL
PTE	665	0	PARTIDO DEL TRABAJO DE ESPAÑA
PSOE-H	1017	0	PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)
ORT	263	0	ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES
MC-OIC	629	0	MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA
IR	1308	0	IZQUIERDA REPUBLICANA
PCARL	166	0	PARTIDO CARLISTA
OCEBR-UCE	247	0	ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA
LCR	177	0	LIGA COMUNISTA REVOLUCIONARIA
FJONSA	247	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
PSAR - PSDA	1363	0	COALICION POR ARAGON
