Siglas	Votos	Diputados	Candidatura
censo	651876	8	
participacion	419157		
abstencion	232719		
nulos	5978		
blancos	877		
UCD	120201	3	UNION DE CENTRO DEMOCRATICO
PSOE	148497	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	53036	1	PARTIDO COMUNISTA DE ESPAÑA
CD	16304	0	COALICION DEMOCRATICA
UN	7338	0	PARTIDO UNION NACIONAL
PSA-PA	49552	1	PARTIDO ANDALUCISTA
PTE	6948	0	PARTIDO DEL TRABAJO DE ESPAÑA
PSOE-H	4628	0	PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)
ORT	605	0	ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES
MC-OIC	1408	0	MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA
IR	953	0	IZQUIERDA REPUBLICANA
PCARL	466	0	PARTIDO CARLISTA
OCEBR-UCE	932	0	ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA
PCT	1174	0	PARTIDO COMUNISTA DE LOS TRABAJADORES
ULE	260	0	UNION PARA LA LIBERTAD DE EXPRESION
