Siglas	Votos	Diputados	Candidatura
censo	334363	5	
participacion	247117		
abstencion	87246		
nulos	2373		
blancos	1438		
UCD	93062	3	UNION DE CENTRO DEMOCRATICO
PSOE	71230	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	18229	0	PARTIDO COMUNISTA DE ESPAÑA
CD	19706	0	COALICION DEMOCRATICA
UN	8931	0	PARTIDO UNION NACIONAL
PTE	3117	0	PARTIDO DEL TRABAJO DE ESPAÑA
PSOE-H	2802	0	PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)
ORT	1570	0	ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES
MC-OIC	1755	0	MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA
IR	740	0	IZQUIERDA REPUBLICANA
OCEBR-UCE	1045	0	ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA
PCT	1032	0	PARTIDO COMUNISTA DE LOS TRABAJADORES
LCR	627	0	LIGA COMUNISTA REVOLUCIONARIA
FJONSA	1164	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
PANCAL	13380	0	PARTIDO NACIONALISTA DE CASTILLA Y LEON
PLIB	745	0	PARTIDO LIBERAL
PRE	3528	0	PARTIDO RURALISTA ESPAÑOL
FEA	643	0	FALANGE ESPAÑOLA AUTENTICA
