Siglas	Votos	Diputados	Candidatura
censo	273611	4	
participacion	216779		
abstencion	56832		
nulos	4965		
blancos	1667		
PSOE	79626	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	90969	2	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	20609	0	UNION DE CENTRO DEMOCRATICO
PCE	3737	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	10404	0	CENTRO DEMOCRATICO Y SOCIAL
FN	919	0	ASOCIACION POLITICA FUERZA NUEVA
PST	1724	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
SE	630	0	SOLIDARIDAD ESPAÑOLA
UCE	660	0	UNIFICACION COMUNISTA DE ESPAÑA
PCE (M-L)	366	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
CUC	360	0	CANDIDATURA DE UNIDAD COMUNISTA
FE-JONS	46	0	FALANGE ESPAÑOLA DE LAS JONS
LCR-MC	97	0	COALICION ELECTORAL IZQUIERDA COMUNISTA
