Siglas	Votos	Diputados	Candidatura
censo	342009	5	
participacion	285326		
abstencion	56683		
nulos	5152		
blancos	1062		
PSOE	151168	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	79037	2	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	29443	0	UNION DE CENTRO DEMOCRATICO
PCE	7627	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	5543	0	CENTRO DEMOCRATICO Y SOCIAL
FN	3222	0	ASOCIACION POLITICA FUERZA NUEVA
PST	1182	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
SE	236	0	SOLIDARIDAD ESPAÑOLA
PCOE	402	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
UCE	140	0	UNIFICACION COMUNISTA DE ESPAÑA
LC (COSI)	149	0	LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.)
FE-JONS	809	0	FALANGE ESPAÑOLA DE LAS JONS
LCR-MC	154	0	COALICION ELECTORAL IZQUIERDA COMUNISTA
