Siglas	Votos	Diputados	Candidatura
censo	532882	7	
participacion	409109		
abstencion	123773		
nulos	3905		
blancos	1079		
PSOE	234154	5	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	97554	2	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	27897	0	UNION DE CENTRO DEMOCRATICO
PCE	28636	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	7276	0	CENTRO DEMOCRATICO Y SOCIAL
FN	2029	0	ASOCIACION POLITICA FUERZA NUEVA
PSA-PA	4939	0	PARTIDO SOCIALISTA DE ANDALUCIA - PARTIDO ANDALUZ
SE	454	0	SOLIDARIDAD ESPAÑOLA
UCE	249	0	UNIFICACION COMUNISTA DE ESPAÑA
PCE (M-L)	252	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
CUC	369	0	CANDIDATURA DE UNIDAD COMUNISTA
MFE	316	0	MOVIMIENTO FALANGISTA DE ESPAÑA
