Siglas	Votos	Diputados	Candidatura
censo	619714	8	
participacion	421897		
abstencion	197817		
nulos	7429		
blancos	1997		
PSOE	126228	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	155556	4	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	76575	1	UNION DE CENTRO DEMOCRATICO
PCE	8070	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	12099	0	CENTRO DEMOCRATICO Y SOCIAL
FN	930	0	ASOCIACION POLITICA FUERZA NUEVA
PST	4487	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
B-PSG	12002	0	BLOQUE PSG
SE	867	0	SOLIDARIDAD ESPAÑOLA
UCE	827	0	UNIFICACION COMUNISTA DE ESPAÑA
PCE (M-L)	698	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
EG	12262	0	ESQUERDA GALEGA
CUC	704	0	CANDIDATURA DE UNIDAD COMUNISTA
FE-JONS	741	0	FALANGE ESPAÑOLA DE LAS JONS
LCR-MC	425	0	COALICION ELECTORAL IZQUIERDA COMUNISTA
