Siglas	Votos	Diputados	Candidatura
censo	120600	3	
participacion	96545		
abstencion	24055		
nulos	1767		
blancos	627		
PSOE	38834	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	31779	1	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	15570	0	UNION DE CENTRO DEMOCRATICO
PCE	1124	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	4472	0	CENTRO DEMOCRATICO Y SOCIAL
FN	975	0	ASOCIACION POLITICA FUERZA NUEVA
PST	399	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
UCE	148	0	UNIFICACION COMUNISTA DE ESPAÑA
PCE (M-L)	125	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
MFE	99	0	MOVIMIENTO FALANGISTA DE ESPAÑA
PSA	626	0	PARTIDO SOCIALISTA DE ARAGON
