Siglas	Votos	Diputados	Candidatura
censo	36128	1	
participacion	26117		
abstencion	10011		
nulos	427		
blancos	119		
PSOE	11698	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	7674	0	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	1870	0	UNION DE CENTRO DEMOCRATICO
PCE	188	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	2010	0	CENTRO DEMOCRATICO Y SOCIAL
FN	173	0	ASOCIACION POLITICA FUERZA NUEVA
PST	137	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
UCE	19	0	UNIFICACION COMUNISTA DE ESPAÑA
PNC	1785	0	PARTIDO NACIONALISTA CEUTI
LCR-MC	17	0	COALICION ELECTORAL IZQUIERDA COMUNISTA
