Siglas	Votos	Diputados	Candidatura
censo	337449	262011	
participacion	1047		
abstencion	336402		
nulos	263456		
blancos	174		
PSOE	119250	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	86032	2	COALICION POPULAR
CDS	23113	0	CENTRO DEMOCRATICO Y SOCIAL
IU	6155	0	COALICION IZQUIERDA UNIDA
MUC	3961	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
PRD	6447	0	PARTIDO REFORMISTA DEMOCRATICO
PST	1124	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
UV	1351	0	UNIO VALENCIANA
FE-JONS	509	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	528	0	UNIFICACION COMUNISTA DE ESPAÑA
UPV	5556	0	UNITAT DEL POBLE VALENCIA
LV	1448	0	LOS VERDES
UPR	573	0	UNIDAD  POPULAR REPUBLICANA
POSI	366	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
