Siglas	Votos	Diputados	Candidatura
censo	485208	368760	
participacion	2156		
abstencion	483052		
nulos	369925		
blancos	453		
PSOE	201494	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	98395	2	COALICION POPULAR
CDS	19507	0	CENTRO DEMOCRATICO Y SOCIAL
IU	33569	0	COALICION IZQUIERDA UNIDA
MUC	2042	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
PRD	2569	0	PARTIDO REFORMISTA DEMOCRATICO
PA	4483	0	PARTIDO ANDALUCISTA
FE-JONS	534	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	390	0	UNIFICACION COMUNISTA DE ESPAÑA
UPR	316	0	UNIDAD  POPULAR REPUBLICANA
POSI	338	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
PSPA	976	0	PARTIDO SOCIALISTA DEL PUEBLO ANDALUZ
