Siglas	Votos	Diputados	Candidatura
censo	330909	190379	
participacion	8442		
abstencion	322467		
nulos	191458		
blancos	1554		
PSOE	55860	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	88162	3	COALICION POPULAR
CDS	12210	0	CENTRO DEMOCRATICO Y SOCIAL
IU	1398	0	COALICION IZQUIERDA UNIDA
MUC	1059	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
CG	19944	0	COALICION GALEGA
PST	774	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCC	323	0	PARTIT DELS COMUNISTES DE CATALUNYA
PSG-EG	3088	0	PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA
FE-JONS	252	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	496	0	UNIFICACION COMUNISTA DE ESPAÑA
UPR	277	0	UNIDAD  POPULAR REPUBLICANA
BNG	3310	0	BLOQUE NACIONALISTA GALEGO
CUN	245	0	COALICION DE UNIDAD NACIONAL
