Siglas	Votos	Diputados	Candidatura
censo	547795	345809	
participacion	1144		
abstencion	546651		
nulos	348779		
blancos	438		
PSOE	118833	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	140163	3	PARTIDO POPULAR
IU	17555	0	IZQUIERDA UNIDA
CDS	31671	0	CENTRO DEMOCRATICO Y SOCIAL
RUIZ-MATEOS	8709	0	AGRUPACION RUIZ-MATEOS
LV-LV	8762	0	LOS VERDES-LISTA VERDE
PTE-UC	772	0	PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA
PST	1621	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCPE	1050	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE-JONS	541	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
AR	327	0	ALIANZA POR LA REPUBLICA
PSM-ENE	7989	0	COALICION ELECTORAL ESQUERRA NACIONALISTA
PORE	431	0	PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA
UB	2883	0	UNIO BALEAR
PRB	398	0	PARTIDO RADICAL BALEAR
