Siglas	Votos	Diputados	Candidatura
censo	323042	241545	
participacion	1697		
abstencion	321345		
nulos	242626		
blancos	671		
PSOE	126396	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	65430	2	PARTIDO POPULAR
IU	12226	0	IZQUIERDA UNIDA
CDS	21228	0	CENTRO DEMOCRATICO Y SOCIAL
RUIZ-MATEOS	1117	0	AGRUPACION RUIZ-MATEOS
LV-LV	1652	0	LOS VERDES-LISTA VERDE
LVE	976	0	LOS VERDES ECOLOGISTAS
PTE-UC	744	0	PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA
PST	1200	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCPE	380	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE-JONS	255	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
PH	130	0	PARTIDO HUMANISTA
AR	111	0	ALIANZA POR LA REPUBLICA
EX.U.	7578	0	EXTREMADURA UNIDA
