Siglas	Votos	Diputados	Candidatura
censo	861540	521512	
participacion	18222		
abstencion	843318		
nulos	526278		
blancos	3650		
PSOE	190844	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	185709	4	PARTIDO POPULAR
IU	20397	0	IZQUIERDA UNIDA
CDS	46675	1	CENTRO DEMOCRATICO Y SOCIAL
RUIZ-MATEOS	5255	0	AGRUPACION RUIZ-MATEOS
LV-LV	3029	0	LOS VERDES-LISTA VERDE
LVE	2008	0	LOS VERDES ECOLOGISTAS
PTE-UC	2713	0	PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA
PST	3258	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCPE	633	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
BNG	21202	0	BLOQUE NACIONALISTA GALEGO
CG	5173	0	COALICION GALEGA
PSG-EG	15670	0	PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA
FE-JONS	570	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
VERDE	1539	0	VERTICE ESPAÑOL REIVINDICAC. DESARROLLO ECOLOGICO
PH	421	0	PARTIDO HUMANISTA
PNG-PG	5539	0	PARTIDO NACIONALISTA GALEGO-PARTIDO GALEGUISTA
AR	430	0	ALIANZA POR LA REPUBLICA
PORE	646	0	PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA
PAS	434	0	PARTIU ASTURIANISTA
FPG	1346	0	FRENTE POPULAR GALEGA
