Siglas	Votos	Diputados	Candidatura
censo	147719	112802	
participacion	1012		
abstencion	146707		
nulos	113840		
blancos	350		
PSOE	41313	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	50186	2	PARTIDO POPULAR
IU	6533	0	IZQUIERDA UNIDA
CDS	9696	0	CENTRO DEMOCRATICO Y SOCIAL
LV-LV	1307	0	LOS VERDES-LISTA VERDE
LVE	768	0	LOS VERDES ECOLOGISTAS
PTE-UC	398	0	PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA
PST	735	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCPE	222	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE-JONS	226	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
PH	145	0	PARTIDO HUMANISTA
AR	182	0	ALIANZA POR LA REPUBLICA
