Siglas	Votos	Diputados	Candidatura
censo	270493	222710	
participacion	2043		
abstencion	268450		
nulos	224549		
blancos	925		
PSOE	103057	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	90453	2	PARTIDO POPULAR
IU	20841	0	IZQUIERDA UNIDA
CDS	4253	0	CENTRO DEMOCRATICO Y SOCIAL
VERDES	1310	0	LOS VERDES
LE	619	0	LOS ECOLOGISTAS
ARM-ADE	456	0	AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA
PLN	125	0	PARTIDO DE LA LEY NATURAL
PH	132	0	PARTIDO HUMANISTA
NPS	116	0	COALICION POR UN NUEVO PARTIDO SOCIALISTA
TC-PNC	130	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
