Siglas	Votos	Diputados	Candidatura
censo	681022	536394	
participacion	5025		
abstencion	675997		
nulos	540270		
blancos	2026		
PSOE	174061	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	172753	2	PARTIDO POPULAR
IU	60074	1	IZQUIERDA UNIDA
CDS	5765	0	CENTRO DEMOCRATICO Y SOCIAL
VERDES	2615	0	LOS VERDES
PAR	108690	1	PARTIDO ARAGONES
LE	740	0	LOS ECOLOGISTAS
ARM-ADE	954	0	AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA
PST	1692	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PLN	135	0	PARTIDO DE LA LEY NATURAL
PH	132	0	PARTIDO HUMANISTA
POR	257	0	PARTIDO OBRERO REVOLUCIONARIO
NPS	115	0	COALICION POR UN NUEVO PARTIDO SOCIALISTA
CHA	4650	0	CHUNTA ARAGONESISTA
SEES	418	0	SALUD Y ECOLOGIA EN SOLIDARIDAD
IF	303	0	INDEPENDIENTES FEDERADOS DE ARAGON
