Siglas	Votos	Diputados	Candidatura
censo	614100	418474	
participacion	13767		
abstencion	600333		
nulos	420565		
blancos	3133		
PP	135701	2	PARTIDO POPULAR
PSOE	144480	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU	21867	0	IZQUIERDA UNIDA
CC	110080	2	COALICION CANARIA
LVE	508	0	LOS VERDES EUROPEOS
UC	808	0	UNION CENTRISTA
LV-GV	1539	0	LOS VERDES-GRUPO VERDE
PCPE	415	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PH	261	0	PARTIDO HUMANISTA
FREPIC	1071	0	FRENTE POPULAR POR LA INDEPENDENCIA DE CANARIAS
LG	243	0	PARTIDO LA GENTE
