Siglas	Votos	Diputados	Candidatura
censo	176796	138633	
participacion	4937		
abstencion	171859		
nulos	140307		
blancos	1946		
PP	75223	2	PARTIDO POPULAR
PSOE	51509	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU	7824	0	IZQUIERDA UNIDA
UC	1473	0	UNION CENTRISTA
PRT	108	0	PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES
PH	132	0	PARTIDO HUMANISTA
TC-PNC	77	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
URCL	184	0	UNIDAD REGIONALISTA DE CASTILLA Y LEON
PREPAL	850	0	SALAMANCA, ZAMORA, LEON
PIZ	215	0	PARTIDO INTERZAMORANO
