Siglas	Votos	Diputados	Candidatura
censo	450881	293046	
participacion	6407		
abstencion	444474		
nulos	297048		
blancos	1580		
PP	46992	1	PARTIDO POPULAR
PSOE-PROGR.	83741	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	4644	0	IZQUIERDA UNIDA
CIU	121116	2	CONVERGENCIA I UNIO
ERC	25534	0	ESQUERRA REPUBLICANA DE CATALUNYA
IC-V	5346	0	INICIATIVA PER CATALUNYA-VERDS
UC-CDS	161	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
PH	178	0	PARTIDO HUMANISTA
PLN	144	0	PARTIDO DE LA LEY NATURAL
FE	188	0	LA FALANGE
POSI	541	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
EV-AV	1790	0	ELS VERDS-ALTERNATIVA VERDA
ES2000	85	0	PLATAFORMA ESPAÑA 2000
PADE	60	0	PARTIDO DEMOCRATA ESPAÑOL
EC	334	0	ESTAT CATALA
LI (LIT-CI)	108	0	LUCHA INTERNACIONALISTA
PNCA	78	0	PARTIDO NACIONALISTA CALO
