Siglas	Votos	Diputados	Candidatura
censo	529692	421689	
participacion	8958		
abstencion	520734		
nulos	427261		
blancos	1812		
PSOE	219172	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	176699	3	PARTIDO POPULAR
IU	16589	0	IZQUIERDA UNIDA
CENB	496	0	CIUDADANOS EN BLANCO
CDS	423	0	CENTRO DEMOCRATICO Y SOCIAL
PH	180	0	PARTIDO HUMANISTA
IR	264	0	IZQUIERDA REPUBLICANA
PFyV	201	0	PARTIDO FAMILIA Y VIDA
DN	173	0	DEMOCRACIA NACIONAL
PCPE	617	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	138	0	FALANGE ESPAÑOLA DE LAS JONS
FE	77	0	LA FALANGE
MSR	99	0	MOVIMIENTO SOCIAL REPUBLICANO
FA	120	0	FALANGE AUTENTICA
EU	1508	0	EXTREMADURA UNIDA
LV	1886	0	LOS VERDES DE EXTREMADURA
