Siglas	Votos	Diputados	Candidatura
censo	149165	118563	
participacion	1941		
abstencion	147224		
nulos	121104		
blancos	487		
PSOE	52915	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	57078	2	PARTIDO POPULAR
IU	5310	0	IZQUIERDA UNIDA
CENB	504	0	CIUDADANOS EN BLANCO
CDS	159	0	CENTRO DEMOCRATICO Y SOCIAL
PH	107	0	PARTIDO HUMANISTA
IR	113	0	IZQUIERDA REPUBLICANA
PFyV	172	0	PARTIDO FAMILIA Y VIDA
DN	116	0	DEMOCRACIA NACIONAL
PCPE	73	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	91	0	FALANGE ESPAÑOLA DE LAS JONS
FE	70	0	LA FALANGE
TC-PNC	154	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
MSR	28	0	MOVIMIENTO SOCIAL REPUBLICANO
PADE	119	0	PARTIDO DEMOCRATA ESPAÑOL
FA	46	0	FALANGE AUTENTICA
PRGU	330	0	PARTIDO REGIONALISTA DE GUADALAJARA
GPHAE	35	0	GRUPO POLITICO HONRADEZ ABSOLUTA ESPAÑOLA
