Siglas	Votos	Diputados	Candidatura
censo	302081	232374	
participacion	10276		
abstencion	291805		
nulos	234244		
blancos	2774		
PSOE	68971	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	34116	0	PARTIDO POPULAR
IU	6910	0	IZQUIERDA UNIDA
CiU	68735	1	CONVERGENCIA i UNIO
ERC	50104	1	ESQUERRA REPUBLICANA DE CATALUNYA
CENB	190	0	CIUDADANOS EN BLANCO
CDS	85	0	CENTRO DEMOCRATICO Y SOCIAL
EV-AE	1171	0	ELS VERDS-L'ALTERNATIVA ECOLOGISTA
PH	96	0	PARTIDO HUMANISTA
IR	382	0	IZQUIERDA REPUBLICANA
PFyV	86	0	PARTIDO FAMILIA Y VIDA
DN	73	0	DEMOCRACIA NACIONAL
PCPE	102	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	86	0	FALANGE ESPAÑOLA DE LAS JONS
FE	52	0	LA FALANGE
MSR	36	0	MOVIMIENTO SOCIAL REPUBLICANO
Ei	135	0	ESCONS INSUBMISOS-ALT. DELS DEMOCRATES DESCONTENTS
PNCA	46	0	PARTIDO NACIONALISTA CALO
L.I. (LIT-CI)	33	0	LUCHA INTERNACIONALISTA
