Siglas	Votos	Diputados	Candidatura
censo	288917	238943	
participacion	66091		
abstencion	222826		
nulos	241498		
blancos	17322		
PSOE	74636	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	132631	3	PARTIDO POPULAR
IU	2055	0	IZQUIERDA UNIDA
BNG	26153	0	BLOQUE NACIONALISTA GALEGO
CDS	233	0	CENTRO DEMOCRATICO Y SOCIAL
PH	215	0	PARTIDO HUMANISTA
IR	87	0	IZQUIERDA REPUBLICANA
DN	75	0	DEMOCRACIA NACIONAL
FE de las JONS	83	0	FALANGE ESPAÑOLA DE LAS JONS
FE	70	0	LA FALANGE
MSR	53	0	MOVIMIENTO SOCIAL REPUBLICANO
PADE	91	0	PARTIDO DEMOCRATA ESPAÑOL
AU.TO.NO.MO	231	0	PARTIDO DE LOS AUTONOMOS Y PROFESIONALES
FPG	195	0	FRENTE POPULAR GALEGA
CG	586	0	COALICION GALEGA
