Siglas	Votos	Diputados	Candidatura
censo	122462	98911	
participacion	2176		
abstencion	120286		
nulos	101091		
blancos	582		
PSOE	39976	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	52500	2	PARTIDO POPULAR
IU	3470	0	IZQUIERDA UNIDA
CENB	433	0	CIUDADANOS EN BLANCO
CDS	241	0	CENTRO DEMOCRATICO Y SOCIAL
PH	119	0	PARTIDO HUMANISTA
IR	104	0	IZQUIERDA REPUBLICANA
PFyV	191	0	PARTIDO FAMILIA Y VIDA
DN	49	0	DEMOCRACIA NACIONAL
PCPE	89	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	67	0	FALANGE ESPAÑOLA DE LAS JONS
FE	48	0	LA FALANGE
TC-PNC	464	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
MSR	33	0	MOVIMIENTO SOCIAL REPUBLICANO
PADE	95	0	PARTIDO DEMOCRATA ESPAÑOL
FA	34	0	FALANGE AUTENTICA
