Siglas	Votos	Diputados	Candidatura
censo	942159	640818	
participacion	17874		
abstencion	924285		
nulos	647448		
blancos	4236		
P.S.O.E.	328822	5	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	245830	4	PARTIDO POPULAR
I.U.	30958	0	IZQUIERDA UNIDA
UPyD	5572	0	UNION PROGRESO Y DEMOCRACIA
CA	16058	0	COALICION ANDALUCISTA
C's	558	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	1547	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
VERDES	2531	0	LOS VERDES
PUM+J	629	0	POR UN MUNDO MAS JUSTO
P.S.D.	1085	0	PARTIDO SOCIAL DEMOCRATA
P.C.P.E.	795	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	291	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	368	0	DEMOCRACIA NACIONAL
PFyV	374	0	FAMILIA Y VIDA
PH	389	0	PARTIDO HUMANISTA
AES	343	0	ALTERNATIVA ESPAÑOLA
F.A.	219	0	FALANGE AUTENTICA
PPCr	300	0	PARTIDO POSITIVISTA CRISTIANO
