Siglas	Votos	Diputados	Candidatura
censo	416309	330380	
participacion	30997		
abstencion	385312		
nulos	334013		
blancos	11178		
P.S.O.E.	166350	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	143897	2	PARTIDO POPULAR
I.U.	7111	0	IZQUIERDA UNIDA
UPyD	2532	0	UNION PROGRESO Y DEMOCRACIA
C's	401	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	436	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
LV-GV	460	0	LOS VERDES-GRUPO VERDE
PUM+J	197	0	POR UN MUNDO MAS JUSTO
LVE	534	0	LOS VERDES DE EUROPA
P.S.D.	247	0	PARTIDO SOCIAL DEMOCRATA
P.C.P.E.	153	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
CENB	188	0	CIUDADANOS EN BLANCO
FE de las JONS	305	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	160	0	DEMOCRACIA NACIONAL
PH	61	0	PARTIDO HUMANISTA
AES	57	0	ALTERNATIVA ESPAÑOLA
E-2000	47	0	ESPAÑA 2000
UPL	4509	0	UNION DEL PUEBLO LEONES
A.u.N.	39	0	ALIANZA NACIONAL
FRENTE	73	0	FRENTE ESPAÑOL
PREPAL	215	0	PARTIDO REGIONALISTA DEL PAIS LEONES
Centristas PCTR	43	0	PARTIDO CENTRISTAS
PUEDE	40	0	PARTIDO UNIONISTA ESTADO DE ESPAÑA
PB-UB	385	0	GENTES DE EL BIERZO
