Siglas	Votos	Diputados	Candidatura
censo	290737	235158	
participacion	20358		
abstencion	270379		
nulos	238068		
blancos	6975		
P.S.O.E.	94474	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	127130	2	PARTIDO POPULAR
I.U.	4085	0	IZQUIERDA UNIDA
UPyD	4083	0	UNION PROGRESO Y DEMOCRACIA
C's	430	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	312	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
PUM+J	241	0	POR UN MUNDO MAS JUSTO
LVE	663	0	LOS VERDES DE EUROPA
P.S.D.	299	0	PARTIDO SOCIAL DEMOCRATA
P.C.P.E.	160	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
CENB	206	0	CIUDADANOS EN BLANCO
FE de las JONS	98	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	232	0	DEMOCRACIA NACIONAL
PH	115	0	PARTIDO HUMANISTA
AES	54	0	ALTERNATIVA ESPAÑOLA
E-2000	43	0	ESPAÑA 2000
F.A.	64	0	FALANGE AUTENTICA
AMD	127	0	ALTERNATIVA MOTOR Y DEPORTES
A.u.N.	29	0	ALIANZA NACIONAL
P.C.	270	0	PARTIDO CARLISTA
PREPAL	322	0	PARTIDO REGIONALISTA DEL PAIS LEONES
PUEDE	43	0	PARTIDO UNIONISTA ESTADO DE ESPAÑA
