Siglas	Votos	Diputados	Candidatura
censo	136353	211952	
participacion	6225		
abstencion	130128		
nulos	401		
blancos	107056		
PP	65600	2	PARTIDO POPULAR
PSOE	24278	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU-LV	4803	0	IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL
UPyD	8217	0	UNIÓN PROGRESO Y DEMOCRACIA
EQUO	725	0	EQUO
PACMA	275	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
PUM+J	105	0	POR UN MUNDO MÁS JUSTO
UCE	50	0	UNIFICACIÓN COMUNISTA DE ESPAÑA
RPS	200	0	REPUBLICANOS
HARTOS.ORG	174	0	HARTOS.ORG
FE de las JONS	233	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
PFyV	83	0	FAMILIA Y VIDA
