Siglas	Votos	Diputados	Candidatura
censo	3917492	5230930	
participacion	110625		
abstencion	3806867		
nulos	3945		
blancos	2650982		
PP	547376	7	PARTIDO POPULAR
PSOE	727220	10	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU-LV	237327	3	IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL
UPyD	33111	0	UNIÓN PROGRESO Y DEMOCRACIA
CiU	710178	9	CONVERGÈNCIA I UNIÓ
ESQUERRA	169601	2	ESQUERRA REPUBLICANA
PACMA	18638	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Eb	40054	0	ESCAÑOS EN BLANCO
PxC	53142	0	PLATAFORMA PER CATALUNYA
ANTICAPITALISTAS	11346	0	ANTICAPITALISTAS
PIRATA.CAT	17393	0	PIRATES DE CATALUNYA
UCE	3341	0	UNIFICACIÓN COMUNISTA DE ESPAÑA
