Siglas	Votos	Diputados	Candidatura
censo	544101	693416	
participacion	10698		
abstencion	533403		
nulos	722		
blancos	352522		
PP	81977	2	PARTIDO POPULAR
PSOE	90496	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU-LV	18561	0	IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL
UPyD	3672	0	UNIÓN PROGRESO Y DEMOCRACIA
CiU	105846	2	CONVERGÈNCIA I UNIÓ
ESQUERRA	25724	0	ESQUERRA REPUBLICANA
PACMA	2133	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Eb	3046	0	ESCAÑOS EN BLANCO
PxC	3097	0	PLATAFORMA PER CATALUNYA
P.C.P.E.	712	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
ANTICAPITALISTAS	880	0	ANTICAPITALISTAS
PIRATA.CAT	1703	0	PIRATES DE CATALUNYA
UCE	267	0	UNIFICACIÓN COMUNISTA DE ESPAÑA
HARTOS.ORG	1069	0	HARTOS.ORG
PRE-R	419	0	PARTIT REPUBLICÀ D'ESQUERRA-REPUBLICANS
