Siglas	Votos	Diputados	Candidatura
censo	254327	4	
participacion	180941		
abstencion	73386		
nulos	1292		
blancos	1764		
PP	33683	1	PARTIDO POPULAR
PSOE	25331	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	10512	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS	48413	1	PODEMOS
IU-UPeC	6814	0	UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN
EAJ-PNV	28353	1	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
PACMA	1385	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
EH Bildu	21225	0	EUSKAL HERRIA BILDU
UPYD	768	0	UNIÓN PROGRESO Y DEMOCRACIA
RECORTES CE	561	0	RECORTES CERO-GRUPO VERDE
PCPE	175	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
EB	473	0	ESCAÑOS EN BLANCO
Ln	82	0	LIBERTAD NAVARRA, LIBERTATE NAFARRA
OE	110	0	ONGI ETORRI
