Siglas	Votos	Diputados	Candidatura
censo	1088822	8	
participacion	682745		
abstencion	406077		
nulos	7674		
blancos	8562		
PP	239303	3	PARTIDO POPULAR
PSOE	137734	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	66784	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-En	177581	2	EN MAREA
PACMA	5169	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPYD	3531	0	UNIÓN PROGRESO Y DEMOCRACIA
NÓS	30618	0	NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG)
VOX	1246	0	VOX
RECORTES CE	1548	0	RECORTES CERO-GRUPO VERDE
PCPE	1447	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
SAIn	429	0	SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA
PT	1119	0	PARTIDO DA TERRA
