Siglas	Votos	Diputados	Candidatura
censo	838543	8	
participacion	523637		
abstencion	314906		
nulos	4111		
blancos	7535		
PP	145372	3	PARTIDO POPULAR
PSOE	115521	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	63385	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS	136583	2	PODEMOS
IU-UPeC	15262	0	UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN
PACMA	5351	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPYD	2564	0	UNIÓN PROGRESO Y DEMOCRACIA
CCa-PNC	21788	0	COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO
VOX	774	0	VOX
RECORTES CE	1478	0	RECORTES CERO-GRUPO VERDE
PCPE	953	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PUM+J	616	0	POR UN MUNDO MÁS JUSTO
SAIn	300	0	SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA
CANARIAS DE	1605	0	CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y A
PH	439	0	PARTIDO HUMANISTA
