Siglas	Votos	Diputados	Candidatura
censo	1272928	12	
participacion	927652		
abstencion	345276		
nulos	6222		
blancos	10154		
PSOE	259404	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	179056	3	PARTIDO POPULAR
Cs	177691	2	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	127615	2	UNIDAS PODEMOS
VOX	115249	1	VOX
COMPROMÍS 2019	31030	0	COMPROMÍS: BLOC-INICIATIVA-VERDSEQUO
PACMA	12982	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	1527	0	RECORTES CERO-GRUPO VERDE
PCPE	1345	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
AVANT ADELANTE LOS VERDES	3183	0	AVANT ADELANTE LOS VERDES
ERPV	1221	0	ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ
P-LIB	973	0	PARTIDO LIBERTARIO
