Siglas	Votos	Diputados	Candidatura
censo	500563	6	
participacion	331015		
abstencion	169548		
nulos	2283		
blancos	2918		
PSOE	98924	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	73952	2	PARTIDO POPULAR
Cs	56268	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	28934	0	UNIDAS PODEMOS
VOX	62648	1	VOX
PACMA	3452	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	412	0	RECORTES CERO-GRUPO VERDE
PUM+J	335	0	POR UN MUNDO MÁS JUSTO
EB	536	0	ESCAÑOS EN BLANCO
PCPA	353	0	PARTIDO COMUNISTA DEL PUEBLO ANDALUZ
