Siglas	Votos	Diputados	Candidatura
censo	648341	6	
participacion	451775		
abstencion	196566		
nulos	5405		
blancos	7399		
PSOE	146761	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	99999	2	PARTIDO POPULAR
VOX	82534	1	VOX
PODEMOS-IU	64769	1	UNIDAS PODEMOS
Cs	36229	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	3946	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	549	0	RECORTES CERO-GRUPO VERDE
PUM+J	478	0	POR UN MUNDO MÁS JUSTO
AxSÍ	1019	0	ANDALUCÍA POR SÍ
PCPE	544	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCTE	321	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PCOE	1062	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
EB	760	0	ESCAÑOS EN BLANCO
