Siglas	Votos	Diputados	Candidatura
censo	250213	4	
participacion	167549		
abstencion	82664		
nulos	1757		
blancos	2615		
PSOE	57485	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	56450	2	PARTIDO POPULAR
VOX	18908	0	VOX
PODEMOS-IU	16273	0	UNIDAS PODEMOS
Cs	11673	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	1096	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	307	0	RECORTES CERO-GRUPO VERDE
PUM+J	297	0	POR UN MUNDO MÁS JUSTO
PCTE	263	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
EB	425	0	ESCAÑOS EN BLANCO
