Siglas	Votos	Diputados	Candidatura
censo	1061841	10	
participacion	722345		
abstencion	339496		
nulos	5253		
blancos	7418		
PSOE	177154	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	189500	3	PARTIDO POPULAR
VOX	199829	3	VOX
PODEMOS-IU	63461	1	UNIDAS PODEMOS
Cs	53201	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
MÁS PAÍS-EQUO	13439	0	MÁS PAÍS-EQUO
PACMA	7005	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	881	0	RECORTES CERO-GRUPO VERDE
PUM+J	431	0	POR UN MUNDO MÁS JUSTO
PCPE	490	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCOE	990	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
SOMOS REGIÓN	2328	0	SOMOS REGIÓN
IZQP	434	0	IZQUIERDA EN POSITIVO
CONTIGO	317	0	CONTIGO SOMOS DEMOCRACIA
DPL	214	0	DEMOCRACIA PLURAL
