Siglas	Votos	Diputados	Candidatura
censo	972580	7	
participacion	565231		
abstencion	407349		
nulos	7041		
blancos	5486		
PSOE	186211	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	129945	2	PARTIDO POPULAR
VOX	88788	1	VOX
PODEMOS-IU	89301	1	UNIDAS PODEMOS
Cs	37374	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
MÁS PAÍS-EQUO	12732	0	MÁS PAÍS-EQUO
PACMA	4412	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	732	0	RECORTES CERO-GRUPO VERDE
PUM+J	487	0	POR UN MUNDO MÁS JUSTO
PCPE	626	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCTE	843	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PH	366	0	PARTIDO HUMANISTA
ANDECHA	887	0	ANDECHA ASTUR
