Siglas	Votos	Diputados	Candidatura
censo	1547744	12	
participacion	1071247		
abstencion	476497		
nulos	13793		
blancos	17729		
PSOE	380385	5	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	188166	2	PARTIDO POPULAR
VOX	188813	2	VOX
PODEMOS-IU	153435	2	UNIDAS PODEMOS
Cs	83575	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
MÁS PAÍS-EQUO	22388	0	MÁS PAÍS-EQUO
PACMA	12035	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	1456	0	RECORTES CERO-GRUPO VERDE
PUM+J	1402	0	POR UN MUNDO MÁS JUSTO
AxSÍ	5183	0	ANDALUCÍA POR SÍ
PCPE	842	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCTE	550	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PCOE	1495	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
