Siglas	Votos	Diputados	Candidatura
censo	76827	2	
participacion	47248		
abstencion	29579		
nulos	721		
blancos	838		
PSOE	16043	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	15247	1	PARTIDO POPULAR
VOX	6264	0	VOX
PODEMOS-IU	3517	0	UNIDAS PODEMOS
Cs	2670	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	205	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	95	0	RECORTES CERO-GRUPO VERDE
PUM+J	95	0	POR UN MUNDO MÁS JUSTO
PCTE	87	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PPSO	1466	0	PLATAFORMA DEL PUEBLO SORIANO
