Siglas	Votos	Diputados	Candidatura
censo	525752	6	
participacion	368619		
abstencion	157133		
nulos	2661		
blancos	5145		
PSOE	116282	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	94378	2	PARTIDO POPULAR
VOX	86049	2	VOX
PODEMOS-IU	34837	0	UNIDAS PODEMOS
Cs	24871	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	2680	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	556	0	RECORTES CERO-GRUPO VERDE
PUM+J	661	0	POR UN MUNDO MÁS JUSTO
PCPE	282	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCTE	217	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
