Siglas	Votos	Diputados	Candidatura
censo	949598	8	
participacion	633977		
abstencion	315621		
nulos	3806		
blancos	3665		
PSOE	120566	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	55621	1	PARTIDO POPULAR
VOX	15284	0	VOX
PODEMOS-IU	97125	1	UNIDAS PODEMOS
Cs	6929	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
EAJ-PNV	221979	3	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
EH Bildu	94669	1	EUSKAL HERRIA BILDU
MÁS PAÍS-EQUO	8542	0	MÁS PAÍS-EQUO
PACMA	3783	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	753	0	RECORTES CERO-GRUPO VERDE
PUM+J	494	0	POR UN MUNDO MÁS JUSTO
PCTE	491	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
SOLIDARIA	270	0	PARTIDO DE ACCIÓN SOLIDARIA EUROPEA
