Siglas	Votos	Diputados	Candidatura
censo	152694	67584	
participacion	113808		
abstencion	38886		
nulos	1472		
blancos	45255		
PP	45255	2	PARTIDO POPULAR
PSOE	42528	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	17700	0	VOX
SUMAR	6325	0	SUMAR
PACMA	387	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
FO	207	0	FRENTE OBRERO
RECORTES CERO	58	0	RECORTES CERO
PUM+J	111	0	POR UN MUNDO MÁS JUSTO
PCTE	100	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
ESCAÑOS EN BLANCO	168	0	ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS
