Siglas	Votos	Diputados	Candidatura
censo	1999340	942882	
participacion	1437161		
abstencion	562179		
nulos	14026		
blancos	483469		
PP	483469	6	PARTIDO POPULAR
PSOE	461353	5	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	218657	2	VOX
SUMAR	242839	3	SUMAR
PACMA	10334	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
FO	2919	0	FRENTE OBRERO
RECORTES CERO	1773	0	RECORTES CERO
PUM+J	1778	0	POR UN MUNDO MÁS JUSTO
CJ	1056	0	CAMINANDO JUNTOS
FE de las JONS	731	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
EVB	1442	0	ESTAT VALENCIÀ DEL BENESTAR
