Siglas	Votos	Diputados	Candidatura
censo	413193	7	
participacion	322276		
abstencion	90917		
nulos	3250		
blancos	632		
UCD	148697	4	UNION DE CENTRO DEMOCRATICO
PSOE	107797	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	21932	0	PARTIDO COMUNISTA DE ESPAÑA
AP	21880	0	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	5578	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
FDC-EDC	3141	0	COALICION ELECT. EQUIPO DE LA DEMOCRACIA CRISTIANA
ASDCI	1835	0	ALIANZA SOCIALISTA DEMOCRATICA
AET	3272	0	AGRUPACION ELECTORAL DE TRABAJADORES
AN18	3512	0	ALIANZA NACIONAL 18 DE JULIO
FJONSA	750	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
