Siglas	Votos	Diputados	Candidatura
censo	3004988	33	
participacion	2392774		
abstencion	612214		
nulos	29657		
blancos	4279		
UCD	355857	5	UNION DE CENTRO DEMOCRATICO
PSOE	721880	11	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	469361	7	PARTIDO COMUNISTA DE ESPAÑA
AP	75097	1	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	41356	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
PDPC	364798	6	COALICION ELECT.PACTE DEMOCRATIC PER CATALUNYA
UDC-IDCC	127679	2	UNIO DEL CENTRE I LA DEM. CRISTIANA DE CATALUNYA
EC-FED	112794	1	COALICION ELECTORAL ESQUERRA DE CATALUÑA
ASDCI	8738	0	ALIANZA SOCIALISTA DEMOCRATICA
AET	10017	0	AGRUPACION ELECTORAL DE TRABAJADORES
AN18	8895	0	ALIANZA NACIONAL 18 DE JULIO
RSE	7900	0	REFORMA SOCIAL ESPAÑOLA
FJONSA	6395	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
FUT	13559	0	FRENTE UNIDAD DE LOS TRABAJADORES
LLIGA	9203	0	LLIGA DE CATALUNYA PARTIT LIBERAL CATALA
CUPS	12040	0	UNITAT POPULAR PER SOCIALISME
DSCC	9157	0	DEMOCRACIA SOCIAL CRISTIANA DE CATALUÑA
PPROV	4112	0	PARTIDO PROVERISTA
