Siglas	Votos	Diputados	Candidatura
censo	238885	4	
participacion	189485		
abstencion	49400		
nulos	3184		
blancos	743		
UCD	89363	3	UNION DE CENTRO DEMOCRATICO
PSOE	44388	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	4765	0	PARTIDO COMUNISTA DE ESPAÑA
AP	28707	0	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	5870	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
FDC-EDC	3012	0	COALICION ELECT. EQUIPO DE LA DEMOCRACIA CRISTIANA
FDI	3172	0	FRENTE DEMOCRATICO DE IZQUIERDAS
ASDCI	866	0	ALIANZA SOCIALISTA DEMOCRATICA
AET	1552	0	AGRUPACION ELECTORAL DE TRABAJADORES
AN18	1366	0	ALIANZA NACIONAL 18 DE JULIO
RSE	1881	0	REFORMA SOCIAL ESPAÑOLA
ANEPA-CP	616	0	ASOC.NAL. PARA EL ESTUDIO DE PROBLEMAS ACTUALES
