Siglas	Votos	Diputados	Candidatura
censo	397732	7	
participacion	268184		
abstencion	129548		
nulos	4739		
blancos	860		
UCD	140237	5	UNION DE CENTRO DEMOCRATICO
PSOE	50951	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	10643	0	PARTIDO COMUNISTA DE ESPAÑA
AP	27828	0	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	14215	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
FJONSA	4099	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
PPCAN	7768	0	PARTIDO POPULAR CANARIO
PSCAN	2726	0	PARTIDO SOCIALISTA DE CANARIAS
ICU	4118	0	IZQUIERDA CANARIA UNIDA
