Siglas	Votos	Diputados	Candidatura
censo	762982	9	
participacion	560714		
abstencion	202268		
nulos	6782		
blancos	1110		
UCD	207570	4	UNION DE CENTRO DEMOCRATICO
PSOE	218137	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	62018	1	PARTIDO COMUNISTA DE ESPAÑA
CD	28917	0	COALICION DEMOCRATICA
UN	10759	0	PARTIDO UNION NACIONAL
PTE	1628	0	PARTIDO DEL TRABAJO DE ESPAÑA
PSOE-H	5196	0	PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)
ORT	3123	0	ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES
MC-OIC	2534	0	MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA
BEAN	2568	0	BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL
IR	2439	0	IZQUIERDA REPUBLICANA
PCARL	925	0	PARTIDO CARLISTA
OCEBR-UCE	922	0	ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA
PCT	3538	0	PARTIDO COMUNISTA DE LOS TRABAJADORES
LCR	1017	0	LIGA COMUNISTA REVOLUCIONARIA
FJONSA	1531	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
