Siglas	Votos	Diputados	Candidatura
censo	360747	5	
participacion	246203		
abstencion	114544		
nulos	2352		
blancos	453		
UCD	100896	3	UNION DE CENTRO DEMOCRATICO
PSOE	95996	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	19171	0	PARTIDO COMUNISTA DE ESPAÑA
CD	11659	0	COALICION DEMOCRATICA
UN	10004	0	PARTIDO UNION NACIONAL
PTE	2238	0	PARTIDO DEL TRABAJO DE ESPAÑA
ORT	1296	0	ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES
PCARL	388	0	PARTIDO CARLISTA
OCEBR-UCE	840	0	ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA
FJONSA	910	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
