Siglas	Votos	Diputados	Candidatura
censo	108095	3	
participacion	78357		
abstencion	29738		
nulos	899		
blancos	286		
UCD	36361	2	UNION DE CENTRO DEMOCRATICO
PSOE	18155	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	6699	0	PARTIDO COMUNISTA DE ESPAÑA
CD	8416	0	COALICION DEMOCRATICA
UN	5131	0	PARTIDO UNION NACIONAL
PTE	301	0	PARTIDO DEL TRABAJO DE ESPAÑA
PSOE-H	666	0	PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)
ORT	513	0	ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES
MC-OIC	107	0	MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA
OCEBR-UCE	421	0	ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA
FJONSA	156	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
FEA	246	0	FALANGE ESPAÑOLA AUTENTICA
