Siglas	Votos	Diputados	Candidatura
censo	29149	1	
participacion	17686		
abstencion	11463		
nulos	166		
blancos	63		
UCD	9035	1	UNION DE CENTRO DEMOCRATICO
PSOE	3750	0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	793	0	PARTIDO COMUNISTA DE ESPAÑA
CD	848	0	COALICION DEMOCRATICA
UN	429	0	PARTIDO UNION NACIONAL
PTE	353	0	PARTIDO DEL TRABAJO DE ESPAÑA
ORT	46	0	ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES
MC-OIC	180	0	MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA
PCARL	194	0	PARTIDO CARLISTA
ULE	9	0	UNION PARA LA LIBERTAD DE EXPRESION
CIME	1820	0	CANDIDATOS INDEPENDIENTES
