Siglas	Votos	Diputados	Candidatura
censo	240155	4	
participacion	196992		
abstencion	43163		
nulos	4110		
blancos	861		
PSOE	103328	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	55666	1	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	16755	0	UNION DE CENTRO DEMOCRATICO
PCE	8874	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	3846	0	CENTRO DEMOCRATICO Y SOCIAL
FN	1388	0	ASOCIACION POLITICA FUERZA NUEVA
PST	855	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
SE	457	0	SOLIDARIDAD ESPAÑOLA
UCE	129	0	UNIFICACION COMUNISTA DE ESPAÑA
PCE (M-L)	149	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
CUC	193	0	CANDIDATURA DE UNIDAD COMUNISTA
MFE	141	0	MOVIMIENTO FALANGISTA DE ESPAÑA
FE-JONS	240	0	FALANGE ESPAÑOLA DE LAS JONS
